"Date","Price","Open","High","Low","Vol.","Change %"
"11/11/2024","12,191.97","12,212.18","12,238.65","12,148.74","","-0.17%"
"11/08/2024","12,212.18","12,188.70","12,243.33","12,182.94","","0.19%"
"11/07/2024","12,188.70","12,031.13","12,207.79","12,031.13","","1.31%"
"11/06/2024","12,031.13","11,771.58","12,045.91","11,771.58","","2.20%"
"11/05/2024","11,771.58","11,627.08","11,773.35","11,627.08","","1.24%"
"11/04/2024","11,627.08","11,652.95","11,694.31","11,601.20","","-0.22%"
"11/01/2024","11,652.95","11,574.93","11,731.37","11,574.93","","0.67%"
"10/31/2024","11,574.93","11,851.11","11,851.11","11,572.90","","-2.33%"
"10/30/2024","11,851.11","11,902.00","11,933.15","11,840.35","","-0.43%"
"10/29/2024","11,902.00","11,842.87","11,930.93","11,803.34","","0.50%"
"10/28/2024","11,842.87","11,825.67","11,900.50","11,825.67","","0.15%"
"10/25/2024","11,825.67","11,795.94","11,926.83","11,795.94","","0.25%"
"10/24/2024","11,795.94","11,752.88","11,810.90","11,742.26","","0.37%"
"10/23/2024","11,752.88","11,899.83","11,899.83","11,674.90","","-1.23%"
"10/22/2024","11,899.83","11,907.18","11,933.14","11,828.44","","-0.06%"
"10/21/2024","11,907.18","11,903.10","11,925.37","11,830.97","","0.03%"
"10/18/2024","11,903.10","11,853.67","11,921.08","11,853.67","","0.42%"
"10/17/2024","11,853.67","11,852.23","11,947.96","11,852.23","","0.01%"
"10/16/2024","11,852.23","11,816.62","11,863.09","11,772.06","","0.30%"
"10/15/2024","11,816.62","11,941.91","11,952.36","11,786.33","","-1.05%"
"10/14/2024","11,941.91","11,840.07","11,967.16","11,840.07","","0.86%"
"10/11/2024","11,840.07","11,794.26","11,857.48","11,770.00","","0.39%"
"10/10/2024","11,794.26","11,804.61","11,825.54","11,735.23","","-0.09%"
"10/09/2024","11,804.61","11,725.51","11,813.24","11,711.11","","0.67%"
"10/08/2024","11,725.51","11,589.21","11,736.72","11,589.21","","1.18%"
"10/07/2024","11,589.21","11,699.99","11,699.99","11,575.36","","-0.95%"
"10/04/2024","11,699.99","11,597.93","11,703.47","11,597.93","","0.88%"
"10/03/2024","11,597.93","11,605.45","11,642.67","11,547.99","","-0.06%"
"10/02/2024","11,605.45","11,598.15","11,632.02","11,517.45","","0.06%"
"10/01/2024","11,598.15","11,734.53","11,734.53","11,533.79","","-1.16%"
"09/30/2024","11,734.53","11,680.92","11,739.62","11,611.64","","0.46%"
"09/27/2024","11,680.92","11,715.40","11,741.71","11,653.80","","-0.29%"
"09/26/2024","11,715.40","11,662.75","11,779.13","11,649.98","","0.45%"
"09/25/2024","11,662.75","11,675.22","11,706.22","11,639.09","","-0.11%"
"09/24/2024","11,675.22","11,630.43","11,682.46","11,578.22","","0.39%"
"09/23/2024","11,630.43","11,604.73","11,646.66","11,599.72","","0.22%"
"09/20/2024","11,604.73","11,636.00","11,640.08","11,541.35","","-0.27%"
"09/19/2024","11,636.00","11,401.55","11,683.54","11,401.55","","2.06%"
"09/18/2024","11,401.55","11,432.73","11,549.84","11,395.07","","-0.27%"
"09/17/2024","11,432.73","11,427.90","11,519.95","11,386.41","","0.04%"
"09/16/2024","11,427.90","11,447.91","11,447.91","11,363.36","","-0.17%"
"09/13/2024","11,447.91","11,389.55","11,473.60","11,389.55","","0.51%"
"09/12/2024","11,389.55","11,293.47","11,406.54","11,248.07","","0.85%"
"09/11/2024","11,293.47","11,121.76","11,306.84","10,955.22","","1.54%"
"09/10/2024","11,121.76","11,043.56","11,127.26","11,003.03","","0.71%"
"09/09/2024","11,043.56","10,920.70","11,065.49","10,920.70","","1.13%"
"09/06/2024","10,920.70","11,133.88","11,172.22","10,905.89","","-1.91%"
"09/05/2024","11,133.88","11,150.18","11,230.60","11,086.72","","-0.15%"
"09/04/2024","11,150.18","11,180.48","11,223.58","11,107.54","","-0.27%"
"09/03/2024","11,180.48","11,484.98","11,484.98","11,129.83","","-2.65%"
"08/30/2024","11,484.98","11,367.96","11,488.61","11,345.16","","1.03%"
"08/29/2024","11,367.96","11,382.75","11,509.78","11,352.76","","-0.13%"
"08/28/2024","11,382.75","11,480.64","11,480.64","11,313.99","","-0.85%"
"08/27/2024","11,480.64","11,467.48","11,494.23","11,396.35","","0.11%"
"08/26/2024","11,467.48","11,530.97","11,559.88","11,434.24","","-0.55%"
"08/23/2024","11,530.97","11,383.70","11,552.79","11,383.70","","1.29%"
"08/22/2024","11,383.70","11,529.73","11,583.64","11,363.58","","-1.27%"
"08/21/2024","11,529.73","11,465.74","11,560.22","11,463.07","","0.56%"
"08/20/2024","11,465.74","11,485.82","11,526.65","11,434.70","","-0.17%"
"08/19/2024","11,485.82","11,364.00","11,485.83","11,340.22","","1.07%"
"08/16/2024","11,364.00","11,354.82","11,385.43","11,302.33","","0.08%"
"08/15/2024","11,354.82","11,138.17","11,358.30","11,138.17","","1.95%"
"08/14/2024","11,138.17","11,110.66","11,162.23","11,048.93","","0.25%"
"08/13/2024","11,110.66","10,888.19","11,113.93","10,888.19","","2.04%"
"08/12/2024","10,888.19","10,874.79","10,948.44","10,840.12","","0.12%"
"08/09/2024","10,874.79","10,817.84","10,904.68","10,782.09","","0.53%"
