"Date","Price","Open","High","Low","Vol.","Change %"
"11/11/2024","30.6800","31.3278","31.5950","30.4142","","-1.95%"
"11/08/2024","31.2900","32.0030","32.0811","31.1786","","-2.21%"
"11/07/2024","31.9973","31.1682","32.1655","30.8650","","2.67%"
"11/06/2024","31.1647","32.6625","32.7423","30.8248","","-4.58%"
"11/05/2024","32.6599","32.4593","32.9550","32.2400","","0.63%"
"11/04/2024","32.4569","32.4435","32.9000","32.2803","","0.10%"
"11/01/2024","32.4250","32.6180","33.1400","32.3245","","-0.69%"
"10/31/2024","32.6500","33.8236","33.9350","32.5013","","-3.40%"
"10/30/2024","33.8000","34.4337","34.5365","33.4035","","-1.88%"
"10/29/2024","34.4462","33.6827","34.5750","33.5990","","2.23%"
"10/28/2024","33.6950","33.6740","34.0150","33.2223","","-0.01%"
"10/25/2024","33.7000","33.6613","34.0365","33.0766","","-0.01%"
"10/24/2024","33.7050","33.7355","34.3250","33.2347","","-0.06%"
"10/23/2024","33.7250","34.8749","34.8873","33.4300","","-3.17%"
"10/22/2024","34.8300","33.7928","34.8950","33.7722","","3.17%"
"10/21/2024","33.7600","33.7052","34.3050","33.4549","","0.31%"
"10/18/2024","33.6550","31.6878","33.7799","31.6557","","6.18%"
"10/17/2024","31.6950","31.6905","32.0291","31.3043","","0.08%"
"10/16/2024","31.6700","31.5129","32.2050","31.4039","","0.64%"
"10/15/2024","31.4700","31.1585","31.7050","30.7526","","0.96%"
"10/14/2024","31.1700","31.5350","31.5950","30.8963","","-1.13%"
"10/11/2024","31.5272","31.1470","31.6558","31.0520","","1.08%"
"10/10/2024","31.1900","30.4917","31.2150","30.3638","","2.23%"
"10/09/2024","30.5100","30.6847","30.8150","30.2124","","-0.62%"
"10/08/2024","30.7000","31.6897","31.7950","30.1143","","-3.22%"
"10/07/2024","31.7200","32.2073","32.3493","31.4049","","-1.40%"
"10/04/2024","32.1700","32.0873","32.9715","31.4996","","0.37%"
"10/03/2024","32.0500","31.8704","32.2306","31.4049","","0.58%"
"10/02/2024","31.8650","31.4419","32.3350","30.9914","","1.45%"
"10/01/2024","31.4100","31.1250","31.9066","31.1103","","0.83%"
"09/30/2024","31.1500","31.6695","31.8678","30.8790","","-1.49%"
"09/27/2024","31.6200","32.0137","32.3450","31.3638","","-1.26%"
"09/26/2024","32.0250","31.7940","32.7350","31.7358","","0.57%"
"09/25/2024","31.8450","32.1340","32.2897","31.5618","","-0.89%"
"09/24/2024","32.1300","30.7077","32.2874","30.6423","","4.76%"
"09/23/2024","30.6700","31.2321","31.2943","30.3481","","-1.42%"
"09/20/2024","31.1125","30.7833","31.4550","30.7232","","1.06%"
"09/19/2024","30.7850","30.1014","31.3250","29.8967","","2.41%"
"09/18/2024","30.0600","30.7490","31.2750","29.6985","","-2.20%"
"09/17/2024","30.7350","30.7940","31.0150","30.5050","","-0.08%"
"09/16/2024","30.7600","30.6750","31.1171","30.5875","","0.33%"
"09/13/2024","30.6575","29.9057","30.9393","29.8435","","2.50%"
"09/12/2024","29.9100","28.7070","29.9572","28.5238","","4.27%"
"09/11/2024","28.6850","28.3852","28.8876","28.0669","","1.07%"
"09/10/2024","28.3800","28.3252","28.5850","28.0248","","0.11%"
"09/09/2024","28.3500","27.9450","28.3950","27.6956","","1.54%"
"09/06/2024","27.9200","28.8169","29.1308","27.6758","","-3.10%"
"09/05/2024","28.8131","28.3050","29.1999","28.1667","","1.87%"
"09/04/2024","28.2850","28.0350","28.3850","27.7631","","0.84%"
"09/03/2024","28.0500","28.5543","28.5850","27.7026","","-1.58%"
"09/02/2024","28.5000","28.8489","28.9836","28.3204","","-1.20%"
"08/30/2024","28.8447","29.3480","29.6084","28.6841","","-2.02%"
"08/29/2024","29.4400","29.1197","29.7150","29.1063","","1.13%"
"08/28/2024","29.1100","29.9312","30.1158","29.0721","","-2.93%"
"08/27/2024","29.9900","29.9350","30.1150","29.7025","","0.30%"
"08/26/2024","29.9000","29.8578","30.2090","29.6431","","0.28%"
