"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2020","6,887.03","6,867.14","6,897.60","6,837.93","","0.29%"
"08/17/2020","6,867.14","6,811.75","6,874.37","6,811.75","","0.81%"
"08/14/2020","6,811.75","6,821.52","6,824.27","6,790.12","","-0.14%"
"08/13/2020","6,821.52","6,814.44","6,858.83","6,798.10","","0.10%"
"08/12/2020","6,814.44","6,690.70","6,831.24","6,690.70","","1.85%"
"08/11/2020","6,690.70","6,764.27","6,788.71","6,677.90","","-1.09%"
"08/10/2020","6,764.27","6,768.43","6,785.92","6,704.64","","-0.06%"
"08/07/2020","6,768.43","6,800.08","6,801.21","6,720.34","","-0.47%"
"08/06/2020","6,800.08","6,749.49","6,803.20","6,722.98","","0.75%"
"08/05/2020","6,749.49","6,716.95","6,757.20","6,716.95","","0.48%"
"08/04/2020","6,716.95","6,702.72","6,717.19","6,671.51","","0.21%"
"08/03/2020","6,702.72","6,620.11","6,718.38","6,620.11","","1.25%"
"07/31/2020","6,620.11","6,558.83","6,621.47","6,503.90","","0.93%"
"07/30/2020","6,558.83","6,566.76","6,568.85","6,458.89","","-0.12%"
"07/29/2020","6,566.76","6,479.00","6,581.45","6,479.00","","1.35%"
"07/28/2020","6,479.00","6,544.73","6,544.73","6,475.58","","-1.00%"
"07/27/2020","6,544.73","6,458.29","6,548.91","6,458.29","","1.34%"
"07/24/2020","6,458.29","6,516.64","6,516.64","6,410.57","","-0.90%"
"07/23/2020","6,516.64","6,621.84","6,642.74","6,489.85","","-1.59%"
"07/22/2020","6,621.84","6,574.50","6,629.61","6,571.41","","0.72%"
"07/21/2020","6,574.50","6,592.00","6,632.51","6,558.25","","-0.27%"
"07/20/2020","6,592.00","6,504.62","6,604.61","6,488.20","","1.34%"
"07/17/2020","6,504.62","6,463.29","6,521.59","6,453.05","","0.64%"
"07/16/2020","6,463.29","6,500.45","6,500.45","6,424.73","","-0.57%"
"07/15/2020","6,500.45","6,440.69","6,523.84","6,440.23","","0.93%"
"07/14/2020","6,440.69","6,345.50","6,446.35","6,283.04","","1.50%"
"07/13/2020","6,345.50","6,434.57","6,540.02","6,335.61","","-1.38%"
"07/10/2020","6,434.57","6,404.20","6,437.62","6,349.27","","0.47%"
"07/09/2020","6,404.20","6,413.62","6,447.82","6,326.45","","-0.15%"
"07/08/2020","6,413.62","6,358.18","6,416.99","6,350.02","","0.87%"
"07/07/2020","6,358.18","6,407.35","6,447.49","6,353.79","","-0.77%"
"07/06/2020","6,407.35","6,306.77","6,427.68","6,306.77","","1.59%"
"07/02/2020","6,306.77","6,265.90","6,358.17","6,265.90","","0.65%"
"07/01/2020","6,265.90","6,237.66","6,291.94","6,233.28","","0.45%"
"06/30/2020","6,237.66","6,130.71","6,258.08","6,123.54","","1.74%"
"06/29/2020","6,130.71","6,049.31","6,130.85","6,016.54","","1.35%"
"06/26/2020","6,049.31","6,185.68","6,185.68","6,046.40","","-2.20%"
"06/25/2020","6,185.68","6,118.68","6,190.62","6,059.49","","1.10%"
"06/24/2020","6,118.68","6,276.13","6,276.13","6,086.00","","-2.51%"
"06/23/2020","6,276.13","6,245.48","6,329.44","6,245.48","","0.49%"
"06/22/2020","6,245.48","6,190.62","6,250.76","6,160.95","","0.89%"
"06/19/2020","6,190.62","6,203.72","6,281.21","6,151.92","","-0.21%"
"06/18/2020","6,203.72","6,200.54","6,215.54","6,168.52","","0.05%"
"06/17/2020","6,200.54","6,204.82","6,252.41","6,189.69","","-0.07%"
"06/16/2020","6,204.82","6,085.26","6,253.06","6,085.26","","1.96%"
"06/15/2020","6,085.26","6,028.90","6,110.60","5,894.86","","0.93%"
"06/12/2020","6,028.90","5,961.97","6,127.56","5,920.12","","1.12%"
"06/11/2020","5,961.97","6,315.37","6,315.37","5,960.98","","-5.60%"
"06/10/2020","6,315.37","6,292.64","6,362.22","6,278.44","","0.36%"
"06/09/2020","6,292.64","6,318.47","6,323.36","6,267.55","","-0.41%"
"06/08/2020","6,318.47","6,268.98","6,319.21","6,245.33","","0.79%"
"06/05/2020","6,268.98","6,122.99","6,288.60","6,122.99","","2.38%"
"06/04/2020","6,122.99","6,180.31","6,180.31","6,086.85","","-0.93%"
"06/03/2020","6,180.31","6,126.02","6,195.32","6,126.02","","0.89%"
"06/02/2020","6,126.02","6,076.05","6,126.26","6,049.31","","0.82%"
"06/01/2020","6,076.05","6,063.29","6,089.53","6,026.86","","0.21%"
"05/29/2020","6,063.29","6,006.82","6,074.11","5,970.66","","0.94%"
"05/28/2020","6,006.82","6,004.20","6,092.80","5,994.88","","0.04%"
"05/27/2020","6,004.20","5,951.89","6,004.25","5,863.86","","0.88%"
"05/26/2020","5,951.89","5,923.89","6,044.56","5,923.89","","0.47%"
"05/22/2020","5,923.89","5,897.94","5,926.52","5,870.01","","0.44%"
"05/21/2020","5,897.94","5,943.31","5,957.10","5,873.00","","-0.76%"
"05/20/2020","5,943.31","5,839.92","5,961.22","5,839.92","","1.77%"
"05/19/2020","5,839.92","5,890.56","5,921.19","5,839.21","","-0.86%"
"05/18/2020","5,890.56","5,741.97","5,918.66","5,741.97","","2.59%"
"05/15/2020","5,741.97","5,704.75","5,744.67","5,636.57","","0.65%"
"05/14/2020","5,704.75","5,649.77","5,705.17","5,546.49","","0.97%"
"05/13/2020","5,649.77","5,748.31","5,776.13","5,590.21","","-1.71%"
"05/12/2020","5,748.31","5,869.61","5,899.59","5,748.31","","-2.07%"
"05/11/2020","5,869.61","5,835.01","5,897.61","5,788.47","","0.59%"
"05/08/2020","5,835.01","5,744.10","5,838.98","5,744.10","","1.58%"
"05/07/2020","5,744.10","5,679.45","5,778.56","5,679.45","","1.14%"
"05/06/2020","5,679.45","5,687.83","5,740.33","5,678.51","","-0.15%"
"05/05/2020","5,687.83","5,610.71","5,747.18","5,610.71","","1.37%"
"05/04/2020","5,610.71","5,562.38","5,613.71","5,516.40","","0.87%"
"05/01/2020","5,562.38","5,704.06","5,704.06","5,543.80","","-2.48%"
"04/30/2020","5,704.06","5,750.72","5,750.72","5,673.11","","-0.81%"
"04/29/2020","5,750.72","5,584.72","5,780.02","5,584.72","","2.97%"
"04/28/2020","5,584.72","5,640.62","5,708.50","5,579.84","","-0.99%"
"04/27/2020","5,640.62","5,562.34","5,658.58","5,562.34","","1.41%"
"04/24/2020","5,562.34","5,476.40","5,572.16","5,469.59","","1.57%"
"04/23/2020","5,476.40","5,482.52","5,572.45","5,471.26","","-0.11%"
"04/22/2020","5,482.52","5,330.07","5,511.42","5,330.07","","2.86%"
"04/21/2020","5,330.07","5,511.10","5,511.10","5,310.11","","-3.28%"
"04/20/2020","5,511.10","5,598.58","5,598.58","5,510.49","","-1.56%"
"04/17/2020","5,598.58","5,464.19","5,605.39","5,464.19","","2.46%"
"04/16/2020","5,464.19","5,421.04","5,476.20","5,391.83","","0.80%"
"04/15/2020","5,421.04","5,527.56","5,527.56","5,377.39","","-1.93%"
"04/14/2020","5,527.56","5,338.44","5,539.05","5,338.44","","3.54%"
"04/13/2020","5,338.44","5,371.25","5,371.25","5,251.53","","-0.61%"
"04/09/2020","5,371.25","5,327.55","5,423.29","5,327.11","","0.82%"
"04/08/2020","5,327.55","5,163.96","5,346.30","5,163.96","","3.17%"
"04/07/2020","5,163.96","5,190.14","5,354.51","5,161.66","","-0.50%"
"04/06/2020","5,190.14","4,842.38","5,213.95","4,842.38","","7.18%"
"04/03/2020","4,842.38","4,909.74","4,935.55","4,784.77","","-1.37%"
