"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2020","92.27","92.82","92.82","92.13","","-0.62%"
"08/17/2020","92.85","93.10","93.12","92.77","","-0.26%"
"08/14/2020","93.10","93.22","93.41","93.01","","-0.26%"
"08/13/2020","93.33","93.36","93.39","92.93","","-0.12%"
"08/12/2020","93.44","93.68","93.90","93.27","","-0.20%"
"08/11/2020","93.63","93.60","93.74","93.17","","0.05%"
"08/10/2020","93.58","93.39","93.69","93.30","","0.16%"
"08/07/2020","93.43","92.81","93.62","92.76","","0.70%"
"08/06/2020","92.79","92.77","93.09","92.52","","-0.09%"
"08/05/2020","92.87","93.23","93.25","92.56","","-0.55%"
"08/04/2020","93.38","93.56","93.83","93.23","","-0.17%"
"08/03/2020","93.54","93.46","93.99","93.32","","0.21%"
"07/31/2020","93.35","92.82","93.54","92.55","","0.35%"
"07/30/2020","93.02","93.32","93.68","92.93","","-0.46%"
"07/29/2020","93.45","93.75","93.80","93.18","","-0.26%"
"07/28/2020","93.70","93.58","94.01","93.49","","0.03%"
"07/27/2020","93.67","94.35","94.42","93.48","","-0.81%"
"07/24/2020","94.43","94.77","94.83","94.33","","-0.27%"
"07/23/2020","94.69","94.98","95.18","94.59","","-0.31%"
"07/22/2020","94.99","95.13","95.41","94.83","","-0.14%"
"07/21/2020","95.12","95.75","95.92","95.05","","-0.75%"
"07/20/2020","95.83","96.01","96.18","95.73","","-0.11%"
"07/17/2020","95.94","96.28","96.33","95.90","","-0.42%"
"07/16/2020","96.35","96.00","96.40","95.89","","0.28%"
"07/15/2020","96.08","96.17","96.25","95.78","","-0.18%"
"07/14/2020","96.26","96.54","96.70","96.18","","-0.21%"
"07/13/2020","96.46","96.66","96.68","96.27","","-0.19%"
"07/10/2020","96.65","96.75","96.97","96.44","","-0.05%"
"07/09/2020","96.70","96.45","96.81","96.24","","0.28%"
"07/08/2020","96.43","96.99","97.05","96.40","","-0.47%"
"07/07/2020","96.88","96.75","97.15","96.60","","0.16%"
"07/06/2020","96.72","97.15","97.19","96.57","","-0.46%"
"07/03/2020","97.17","97.21","97.36","97.12","","-0.15%"
"07/02/2020","97.32","97.14","97.34","96.81","","0.12%"
"07/01/2020","97.20","97.39","97.62","97.03","","-0.20%"
"06/30/2020","97.39","97.40","97.80","97.23","","-0.15%"
"06/29/2020","97.54","97.50","97.65","97.11","","0.11%"
"06/26/2020","97.43","97.35","97.68","97.26","","0.00%"
"06/25/2020","97.43","97.24","97.60","97.16","","0.29%"
