"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2020","27.6500","27.4550","28.4600","27.1211","","0.91%"
"08/17/2020","27.4000","26.6418","27.5712","25.8305","","3.75%"
"08/14/2020","26.4100","27.5230","27.7240","25.7483","","-4.16%"
"08/13/2020","27.5550","25.5835","27.7212","25.2805","","7.81%"
"08/12/2020","25.5600","24.7815","26.2921","23.4455","","3.11%"
"08/11/2020","24.7900","29.1850","29.2595","24.4299","","-14.96%"
"08/10/2020","29.1500","28.4634","29.4233","27.8682","","3.04%"
"08/07/2020","28.2900","28.9350","29.8634","27.3760","","-2.25%"
"08/06/2020","28.9400","26.9910","29.0902","26.8000","","7.11%"
"08/05/2020","27.0200","26.0150","27.1451","25.3731","","3.92%"
"08/04/2020","26.0000","24.2450","26.0287","24.1200","","7.22%"
"08/03/2020","24.2500","24.7595","24.8505","24.0598","","-0.49%"
"07/31/2020","24.3700","23.5257","24.4716","23.2936","","3.50%"
"07/30/2020","23.5450","24.4150","24.4250","22.9160","","-3.52%"
"07/29/2020","24.4050","24.6050","24.9400","23.3297","","-0.67%"
"07/28/2020","24.5700","24.5645","26.2051","22.3462","","-0.16%"
"07/27/2020","24.6100","22.7450","24.6350","22.7201","","8.22%"
"07/24/2020","22.7400","22.6950","22.9300","22.4135","","0.09%"
"07/23/2020","22.7200","23.0650","23.2585","22.2700","","-1.35%"
"07/22/2020","23.0300","21.3034","23.0709","21.2838","","7.97%"
"07/21/2020","21.3300","19.9300","21.3550","19.8530","","7.19%"
"07/20/2020","19.9000","19.3538","19.9300","19.2450","","3.06%"
"07/17/2020","19.3100","19.1550","19.4050","18.9250","","0.73%"
"07/16/2020","19.1700","19.4250","19.4850","19.0975","","-1.13%"
"07/15/2020","19.3900","19.2050","19.4800","19.1299","","0.99%"
"07/14/2020","19.2000","19.1150","19.3000","18.8700","","0.63%"
"07/13/2020","19.0800","18.6925","19.3764","18.6925","","2.20%"
"07/10/2020","18.6700","18.6950","18.8200","18.4788","","0.05%"
"07/09/2020","18.6600","18.6450","19.0519","18.4828","","-0.59%"
"07/08/2020","18.7700","18.3400","18.7950","18.2400","","2.57%"
"07/07/2020","18.3000","18.2450","18.3783","17.9865","","0.49%"
"07/06/2020","18.2100","18.0476","18.4100","17.9400","","0.94%"
"07/03/2020","18.0400","18.0500","18.1100","17.9291","","0.78%"
"07/02/2020","17.9000","17.9600","18.1362","17.7598","","-0.22%"
"07/01/2020","17.9400","18.1700","18.4623","17.8250","","-1.05%"
"06/30/2020","18.1300","17.8200","18.2565","17.7650","","1.51%"
"06/29/2020","17.8600","17.8135","17.9652","17.6750","","0.62%"
"06/26/2020","17.7500","17.7974","17.9448","17.4922","","-0.73%"
"06/25/2020","17.8800","17.4825","17.9050","17.4350","","2.05%"
"06/24/2020","17.5200","17.8600","18.0750","17.4150","","-2.40%"
"06/23/2020","17.9500","17.8400","18.0282","17.6625","","0.73%"
"06/22/2020","17.8200","17.6536","18.0450","17.6341","","1.25%"
"06/19/2020","17.6000","17.5300","17.8200","17.3595","","0.54%"
"06/18/2020","17.5050","17.4850","17.6921","17.3050","","-0.43%"
"06/17/2020","17.5800","17.4300","17.6450","17.3000","","1.06%"
"06/16/2020","17.3950","17.3775","17.6000","17.2300","","-0.20%"
"06/15/2020","17.4300","17.4572","17.5861","16.9550","","-0.06%"
"06/12/2020","17.4400","17.6150","17.7725","17.3827","","-1.50%"
"06/11/2020","17.7050","18.1238","18.1700","17.4750","","-2.99%"
"06/10/2020","18.2500","17.5331","18.3150","17.5243","","3.75%"
"06/09/2020","17.5900","17.7614","17.8000","17.4550","","-1.51%"
"06/08/2020","17.8600","17.3865","17.9250","17.3150","","2.82%"
"06/05/2020","17.3700","17.7600","17.8150","17.2150","","-1.98%"
"06/04/2020","17.7200","17.7500","17.8675","17.4500","","0.28%"
"06/03/2020","17.6700","18.1000","18.1300","17.4592","","-2.32%"
"06/02/2020","18.0900","18.2850","18.3885","17.7730","","-0.99%"
"06/01/2020","18.2700","17.8850","18.4387","17.8850","","2.41%"
"05/29/2020","17.8400","17.4300","17.9350","17.2625","","2.41%"
"05/28/2020","17.4200","17.2765","17.5259","17.1700","","0.69%"
"05/27/2020","17.3000","17.1200","17.3800","16.8494","","1.17%"
"05/26/2020","17.1000","17.1230","17.4775","17.0150","","-0.58%"
"05/25/2020","17.2000","17.2020","17.2600","16.8829","","0.12%"
"05/22/2020","17.1800","17.0100","17.2566","16.7034","","0.70%"
"05/21/2020","17.0600","17.5100","17.5950","16.8750","","-2.51%"
"05/20/2020","17.5000","17.4400","17.6450","17.2685","","0.57%"
"05/19/2020","17.4000","16.9950","17.5000","16.9631","","1.31%"
"05/18/2020","17.1750","16.6350","17.5772","16.6350","","3.34%"
"05/15/2020","16.6200","15.8754","16.7400","15.7602","","4.73%"
"05/14/2020","15.8700","15.5625","15.9550","15.4384","","1.47%"
"05/13/2020","15.6400","15.4460","15.6650","15.3271","","1.49%"
"05/12/2020","15.4100","15.4928","15.6500","15.3364","","-0.90%"
"05/11/2020","15.5500","15.5050","15.6249","15.2700","","0.65%"
"05/08/2020","15.4500","15.3500","15.6460","15.2100","","-0.32%"
"05/07/2020","15.5000","14.8416","15.5275","14.8193","","3.89%"
"05/06/2020","14.9200","14.9665","15.1800","14.8150","","-0.67%"
"05/05/2020","15.0200","14.7976","15.0550","14.7100","","1.21%"
"05/04/2020","14.8400","14.9745","15.0819","14.7264","","-0.67%"
"05/01/2020","14.9400","14.9480","15.0653","14.7350","","-0.53%"
"04/30/2020","15.0200","15.2700","15.5150","14.7147","","-2.21%"
"04/29/2020","15.3600","15.1945","15.3996","15.0840","","1.12%"
"04/28/2020","15.1900","15.2025","15.2430","14.9050","","-0.56%"
"04/27/2020","15.2750","15.2594","15.3550","15.0100","","0.23%"
"04/24/2020","15.2400","15.2550","15.4059","15.0246","","-0.39%"
"04/23/2020","15.3000","15.0931","15.4550","14.9600","","0.96%"
"04/22/2020","15.1550","14.8800","15.1825","14.6850","","1.54%"
"04/21/2020","14.9250","15.3175","15.3500","14.5200","","-2.90%"
"04/20/2020","15.3700","15.1455","15.4475","15.0487","","1.59%"
"04/17/2020","15.1300","15.5449","15.5649","15.0334","","-3.14%"
"04/16/2020","15.6200","15.4867","15.6450","15.2015","","0.94%"
"04/15/2020","15.4750","15.7592","15.7950","15.2650","","-2.12%"
"04/14/2020","15.8100","15.3609","15.8600","15.3333","","2.33%"
"04/13/2020","15.4500","15.4744","15.5259","15.1316","","0.06%"
"04/10/2020","15.4400","15.4400","15.4700","15.4100","","-0.06%"
"04/09/2020","15.4500","14.9737","15.5750","14.9074","","2.66%"
"04/08/2020","15.0500","15.0114","15.1895","14.8569","","0.31%"
"04/07/2020","15.0030","15.0196","15.5074","14.8400","","0.12%"
"04/06/2020","14.9850","14.4070","15.1011","14.2379","","4.13%"
"04/03/2020","14.3900","14.4955","14.5884","14.2615","","-0.79%"
"04/02/2020","14.5050","13.9484","14.5650","13.8949","","3.61%"
"04/01/2020","14.0000","13.9700","14.1556","13.8050","","0.21%"
"03/31/2020","13.9700","14.0569","14.2583","13.8519","","-1.03%"
"03/30/2020","14.1150","14.5350","14.5952","13.8100","","-2.45%"
"03/27/2020","14.4700","14.4050","14.6615","14.1789","","0.59%"
"03/26/2020","14.3850","14.5000","14.6900","14.1547","","-0.31%"
"03/25/2020","14.4300","14.3100","14.7400","14.0084","","1.12%"
"03/24/2020","14.2700","13.2800","14.3650","13.1728","","7.70%"
"03/23/2020","13.2500","12.6000","13.2950","12.2708","","5.33%"
"03/20/2020","12.5800","12.0971","13.0278","11.9950","","3.88%"
"03/19/2020","12.1100","11.9598","12.3110","11.7750","","1.09%"
"03/18/2020","11.9800","12.6096","12.9050","11.6402","","-4.85%"
"03/17/2020","12.5900","12.8450","13.2550","12.1186","","-2.40%"
"03/16/2020","12.9000","15.0942","15.1210","11.7925","","-12.13%"
"03/13/2020","14.6800","15.8375","15.8800","14.4400","","-7.21%"
"03/12/2020","15.8200","16.7500","16.9407","15.5124","","-5.57%"
"03/11/2020","16.7530","16.8969","17.1269","16.6700","","-0.63%"
"03/10/2020","16.8600","16.9900","17.2150","16.8000","","-0.65%"
"03/09/2020","16.9700","17.3350","17.5317","16.5550","","-1.98%"
