Date,Price,Open,High,Low,Vol.,Change %
2002-01-02,115.79,116.4,116.93,115.55,,-0.82%
2002-01-03,116.11,115.88,116.33,115.54,,0.28%
2002-01-04,116.33,116.07,116.53,115.97,,0.19%
2002-01-07,116.33,115.98,117.07,115.85,,0.00%
2002-01-08,116.83,116.94,117.17,116.53,,0.43%
2002-01-09,117.01,116.83,117.35,116.65,,0.15%
2002-01-10,116.88,116.73,117.06,116.64,,-0.11%
2002-01-11,116.64,116.8,116.93,116.63,,-0.21%
2002-01-14,116.64,116.51,116.71,116.34,,0.00%
2002-01-15,117.29,116.69,117.31,116.37,,0.56%
2002-01-16,117.59,117.44,117.69,117.22,,0.26%
2002-01-17,117.85,117.65,118.0,117.43,,0.22%
2002-01-18,117.51,118.05,118.11,117.47,,-0.29%
2002-01-21,117.66,117.6,117.74,117.35,,0.13%
2002-01-22,117.75,117.84,118.18,117.67,,0.08%
2002-01-23,118.47,117.63,118.59,117.42,,0.61%
2002-01-24,118.64,118.46,118.72,118.34,,0.14%
2002-01-25,119.85,118.54,119.99,118.44,,1.02%
2002-01-28,120.04,119.7,120.51,119.61,,0.16%
2002-01-29,119.62,119.82,120.13,119.43,,-0.35%
2002-01-30,119.73,119.51,119.91,119.12,,0.09%
2002-01-31,120.24,119.78,120.33,119.41,,0.43%
2002-02-01,119.79,120.21,120.4,119.62,,-0.37%
2002-02-04,118.9,119.83,119.93,118.75,,-0.74%
2002-02-05,119.4,118.84,119.63,118.74,,0.42%
2002-02-06,119.3,119.56,119.79,119.12,,-0.08%
2002-02-07,119.07,119.73,119.78,118.98,,-0.19%
2002-02-08,118.98,118.95,119.22,118.78,,-0.08%
2002-02-11,118.44,119.08,119.37,118.14,,-0.45%
2002-02-12,118.25,118.35,118.63,118.1,,-0.16%
2002-02-13,118.8,118.44,118.88,118.2,,0.47%
2002-02-14,118.43,118.77,119.03,118.38,,-0.31%
2002-02-15,118.6,118.75,118.93,118.38,,0.14%
2002-02-18,118.76,118.46,118.78,118.38,,0.13%
2002-02-19,118.36,119.08,119.37,118.15,,-0.34%
2002-02-20,118.93,118.17,118.99,118.09,,0.48%
2002-02-21,119.16,118.93,119.21,118.76,,0.19%
2002-02-22,118.48,119.17,119.25,118.26,,-0.57%
2002-02-25,119.13,118.58,119.14,118.41,,0.55%
2002-02-26,119.82,118.97,120.04,118.79,,0.58%
2002-02-27,119.57,119.85,119.93,119.46,,-0.21%
2002-02-28,119.16,119.6,119.79,119.1,,-0.34%
2002-03-01,119.4,119.29,119.61,119.03,,0.20%
2002-03-04,118.81,119.38,119.49,118.6,,-0.49%
2002-03-05,118.57,118.8,119.23,118.55,,-0.20%
2002-03-06,117.96,118.62,118.8,117.86,,-0.51%
2002-03-07,116.8,117.27,117.99,116.76,,-0.98%
2002-03-08,117.99,117.31,118.13,117.04,,1.02%
2002-03-11,117.73,117.95,118.06,117.54,,-0.22%
2002-03-12,117.8,117.81,118.43,117.65,,0.06%
2002-03-13,117.96,118.08,118.32,117.75,,0.14%
2002-03-14,117.29,117.61,118.07,117.05,,-0.57%
2002-03-15,117.22,117.1,117.43,116.82,,-0.06%
2002-03-18,117.5,117.66,117.87,117.14,,0.24%
2002-03-19,117.5,117.53,117.86,117.2,,0.00%
2002-03-20,117.22,117.82,117.94,117.09,,-0.24%
2002-03-21,117.52,117.13,117.65,117.05,,0.26%
2002-03-22,118.05,117.63,118.24,117.41,,0.45%
2002-03-25,118.1,118.13,118.28,117.92,,0.04%
2002-03-26,118.14,118.12,118.54,117.77,,0.03%
2002-03-27,118.54,118.2,118.6,118.09,,0.34%
2002-03-28,118.62,118.42,118.8,118.33,,0.07%
2002-03-29,,,,,,
2002-04-01,117.77,118.56,118.7,117.62,,-0.72%
2002-04-02,117.92,118.08,118.13,117.64,,0.13%
2002-04-03,117.68,117.89,118.08,117.44,,-0.20%
2002-04-04,117.94,117.6,118.06,117.12,,0.22%
2002-04-05,117.69,117.81,118.0,117.47,,-0.21%
2002-04-08,118.2,117.84,118.26,117.64,,0.43%
2002-04-09,117.59,118.29,118.35,117.54,,-0.52%
2002-04-10,117.51,117.42,117.71,117.26,,-0.07%
2002-04-11,117.37,117.57,117.8,117.18,,-0.12%
2002-04-12,117.74,117.64,117.92,117.4,,0.32%
2002-04-15,117.64,117.48,117.79,117.39,,-0.08%
2002-04-16,117.37,117.64,117.78,117.18,,-0.23%
2002-04-17,116.6,117.09,117.38,116.57,,-0.66%
2002-04-18,116.39,116.43,116.81,116.21,,-0.18%
2002-04-19,116.29,116.3,116.68,116.19,,-0.09%
2002-04-22,116.43,116.55,116.73,116.31,,0.12%
2002-04-23,116.57,116.69,116.78,116.38,,0.12%
2002-04-24,116.15,116.58,116.7,116.03,,-0.36%
2002-04-25,115.45,115.93,116.19,115.32,,-0.60%
2002-04-26,115.04,115.41,115.68,115.0,,-0.36%
2002-04-29,114.89,114.98,115.2,114.72,,-0.13%
2002-04-30,115.19,114.91,115.39,114.82,,0.26%
2002-05-01,114.54,115.18,115.34,114.25,,-0.56%
2002-05-02,114.87,114.4,115.02,114.28,,0.29%
2002-05-03,113.59,114.83,114.93,113.5,,-1.11%
2002-05-06,113.66,113.85,113.96,113.45,,0.06%
2002-05-07,113.92,113.44,114.31,113.39,,0.23%
2002-05-08,114.91,114.21,115.09,113.95,,0.87%
2002-05-09,114.52,114.82,115.06,114.27,,-0.34%
2002-05-10,113.95,113.96,114.55,113.92,,-0.50%
2002-05-13,114.15,113.77,114.37,113.63,,0.18%
2002-05-14,115.09,114.71,115.24,114.14,,0.82%
2002-05-15,114.12,115.13,115.32,114.08,,-0.84%
2002-05-16,114.13,114.19,114.47,113.84,,0.01%
2002-05-17,113.0,113.77,114.2,112.91,,-0.99%
2002-05-20,112.82,113.06,113.25,112.74,,-0.16%
2002-05-21,112.8,113.29,113.38,112.66,,-0.02%
2002-05-22,112.33,112.79,113.02,112.16,,-0.42%
2002-05-23,112.79,112.55,113.17,112.18,,0.41%
2002-05-24,112.8,113.01,113.35,112.63,,0.01%
2002-05-27,113.0,112.87,113.11,112.72,,0.18%
2002-05-28,112.1,112.79,112.92,111.93,,-0.80%
2002-05-29,111.49,112.14,112.29,111.47,,-0.54%
2002-05-30,111.17,111.38,111.7,110.88,,-0.29%
2002-05-31,111.81,111.35,112.17,110.99,,0.58%
2002-06-03,111.3,111.93,112.04,111.12,,-0.46%
2002-06-04,111.09,110.81,111.18,110.62,,-0.19%
2002-06-05,111.34,111.26,111.77,111.07,,0.23%
2002-06-06,110.83,111.75,111.9,110.7,,-0.46%
2002-06-07,110.99,110.69,111.12,110.56,,0.14%
2002-06-10,111.1,111.39,111.47,110.66,,0.10%
2002-06-11,110.78,111.06,111.46,110.72,,-0.29%
2002-06-12,111.0,110.77,111.13,110.5,,0.20%
2002-06-13,111.15,111.17,111.46,110.67,,0.14%
2002-06-14,110.76,110.98,111.18,110.26,,-0.35%
2002-06-17,110.85,110.83,111.13,110.66,,0.08%
2002-06-18,110.2,110.74,110.87,110.1,,-0.59%
2002-06-19,109.67,109.97,110.16,109.54,,-0.48%
2002-06-20,108.94,109.53,109.8,108.86,,-0.67%
2002-06-21,108.19,108.73,109.01,107.96,,-0.69%
2002-06-24,108.21,108.07,108.47,107.25,,0.02%
2002-06-25,107.57,108.13,108.53,107.54,,-0.59%
2002-06-26,106.56,106.22,107.42,105.89,,-0.94%
2002-06-27,106.37,106.74,107.03,106.22,,-0.18%
2002-06-28,106.11,106.28,106.84,105.37,,-0.24%
2002-07-01,106.51,105.76,106.65,105.67,,0.38%
2002-07-02,106.8,106.81,107.22,106.12,,0.27%
2002-07-03,107.05,106.99,107.44,106.54,,0.23%
2002-07-04,107.34,107.41,107.59,107.07,,0.27%
2002-07-05,107.67,107.73,107.88,107.22,,0.31%
2002-07-08,106.3,106.46,107.7,106.27,,-1.27%
2002-07-09,105.65,106.19,106.35,105.58,,-0.61%
2002-07-10,106.01,105.52,106.38,105.44,,0.34%
2002-07-11,105.72,106.12,106.49,105.52,,-0.27%
2002-07-12,105.89,106.21,106.25,105.66,,0.16%
2002-07-15,104.67,105.36,105.89,104.39,,-1.15%
2002-07-16,104.49,104.66,104.87,103.94,,-0.17%
2002-07-17,104.42,103.93,104.96,103.87,,-0.07%
2002-07-18,104.47,104.55,104.98,104.41,,0.05%
2002-07-19,104.06,103.81,104.41,103.54,,-0.39%
2002-07-22,104.75,104.34,104.87,104.1,,0.66%
2002-07-23,106.66,105.87,106.82,104.64,,1.82%
2002-07-24,105.52,106.29,106.51,105.39,,-1.07%
2002-07-25,105.12,105.29,105.71,104.92,,-0.38%
2002-07-26,106.61,105.33,106.69,104.73,,1.42%
2002-07-29,107.1,106.7,107.41,106.41,,0.46%
2002-07-30,106.8,107.18,107.34,106.37,,-0.28%
2002-07-31,107.41,106.98,107.51,106.66,,0.57%
2002-08-01,107.02,107.61,107.91,106.8,,-0.36%
2002-08-02,106.67,106.78,107.02,106.28,,-0.33%
2002-08-05,107.27,107.02,107.31,106.55,,0.56%
2002-08-06,108.69,107.94,109.0,107.31,,1.32%
2002-08-07,107.85,108.53,108.75,107.69,,-0.77%
2002-08-08,108.66,107.95,108.84,107.59,,0.75%
2002-08-09,108.21,108.45,108.7,107.96,,-0.41%
2002-08-12,107.41,107.76,108.3,107.29,,-0.74%
2002-08-13,107.11,107.45,107.69,106.99,,-0.28%
2002-08-14,106.79,106.48,106.89,106.18,,-0.30%
2002-08-15,106.72,107.2,107.41,106.58,,-0.07%
2002-08-16,106.72,106.95,107.14,106.45,,0.00%
2002-08-19,107.52,106.64,107.67,106.35,,0.75%
2002-08-20,107.31,107.55,107.89,107.22,,-0.20%
2002-08-21,107.14,106.89,107.64,106.77,,-0.16%
2002-08-22,108.13,107.48,108.36,107.05,,0.92%
2002-08-23,107.97,108.35,108.48,107.83,,-0.15%
2002-08-26,107.86,108.14,108.26,107.66,,-0.10%
2002-08-27,106.77,107.46,108.06,106.71,,-1.01%
2002-08-28,107.08,107.0,107.18,106.75,,0.29%
2002-08-29,106.7,106.83,107.37,106.27,,-0.35%
2002-08-30,106.98,106.55,107.12,106.4,,0.26%
2002-09-02,,,,,,
2002-09-03,105.57,106.43,106.74,105.49,,-1.32%
2002-09-04,106.1,105.7,106.16,105.49,,0.50%
2002-09-05,105.98,105.62,106.34,105.41,,-0.11%
2002-09-06,106.84,106.17,106.84,105.75,,0.81%
2002-09-09,107.1,106.73,107.12,106.62,,0.24%
2002-09-10,107.52,106.82,107.76,106.58,,0.39%
2002-09-11,107.62,107.49,108.09,106.77,,0.09%
2002-09-12,107.16,107.48,107.79,107.14,,-0.43%
2002-09-13,108.06,107.08,108.28,106.97,,0.84%
2002-09-16,108.24,108.47,109.67,108.0,,0.17%
2002-09-17,108.33,108.7,109.24,108.29,,0.08%
2002-09-18,107.76,108.36,108.7,107.46,,-0.53%
2002-09-19,107.0,107.38,107.72,106.84,,-0.71%
2002-09-20,107.53,107.26,107.74,106.78,,0.50%
2002-09-23,107.86,107.52,108.13,107.04,,0.31%
2002-09-24,107.52,107.93,108.0,107.3,,-0.32%
2002-09-25,107.79,107.2,107.89,107.03,,0.25%
2002-09-26,107.68,107.65,108.02,107.38,,-0.10%
2002-09-27,107.53,107.7,107.94,107.46,,-0.14%
2002-09-30,106.87,107.08,108.07,106.5,,-0.61%
2002-10-01,107.07,106.74,107.18,106.62,,0.19%
